Identifier,Title,Author,Description,collection
in.ernet.dli.2015.163897,The Induction Motor,S,"<p><b>Book Source:</b> <a href=""http://www.new.dli.ernet.in/handle/2015/163897"" rel=""nofollow"">Digital Library of India Item 2015.163897</a></p><p>dc.contributor.other: Indian Institute Of Science<br />dc.date.accessioned: 2015-07-06T23:12:55Z<br />dc.date.available: 2015-07-06T23:12:55Z<br />dc.date.digitalpublicationdate: 0000-00-00<br />dc.date.citation: 5<br />dc.identifier.barcode: 1010010032066<br />dc.identifier.origpath: /data/upload/0032/071<br />dc.identifier.copyno: 1<br />dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/163897<br />dc.description.scanningcentre: IISc, Bangalore<br />dc.description.main: 1<br />dc.description.tagged: 0<br />dc.description.totalpages: 286<br />dc.format.mimetype: application/pdf<br />dc.language.iso: English<br />dc.publisher.digitalrepublisher: Vishwas<br />dc.publisher: Sir Isaac Pitman And Sons Ltd<br />dc.rights: Out_of_copyright<br />dc.source.library: Iisc Library<br />dc.title: The Induction Motor<br /></p>","['digitallibraryindia', 'JaiGyan']"
2024-a-blockchain-ai-solution-to-climate-change-LLM,2024 A Blockchain AI Solution To Climate Change,T,"<div style=""margin:0px;padding:0px;border:0px;font-size:16px;line-height:inherit;font-family:Arial, Helvetica, sans-serif;vertical-align:baseline;color:rgb(81,95,92);background-color:rgb(255,255,255);text-align:justify;""><span style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-weight:inherit;font-size:14px;line-height:inherit;font-family:inherit;vertical-align:baseline;""><strong style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-size:inherit;line-height:inherit;font-family:inherit;vertical-align:baseline;"">Background:</strong> Climate change represents a critical global challenge, hindered by skepticism towards data manipulation and politicization. Trust in climate data and its policies is essential for effective climate action.</span></div><div style=""margin:0px;padding:0px;border:0px;font-size:16px;line-height:inherit;font-family:Arial, Helvetica, sans-serif;vertical-align:baseline;color:rgb(81,95,92);background-color:rgb(255,255,255);text-align:justify;""><span style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-weight:inherit;font-size:14px;line-height:inherit;font-family:inherit;vertical-align:baseline;""><strong style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-size:inherit;line-height:inherit;font-family:inherit;vertical-align:baseline;"">Objective: </strong>This perspective paper explores the synergistic potential of blockchain technology and artificial intelligence (AI) in addressing climate change and how their integration can enhance the transparency, reliability, and accessibility of climate science.</span></div><div style=""margin:0px;padding:0px;border:0px;font-size:16px;line-height:inherit;font-family:Arial, Helvetica, sans-serif;vertical-align:baseline;color:rgb(81,95,92);background-color:rgb(255,255,255);text-align:justify;""><span style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-weight:inherit;font-size:14px;line-height:inherit;font-family:inherit;vertical-align:baseline;""><strong style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-size:inherit;line-height:inherit;font-family:inherit;vertical-align:baseline;"">Methods: </strong>The paper analyzes the roles of blockchain technology in enhancing transparency, traceability, and efficiency in carbon credit trading, renewable energy certificates, and sustainable supply chain management. It also examines the capabilities of AI in processing complex datasets to distill actionable intelligence. The synergistic effects of integrating both technologies for improved climate action are discussed alongside the challenges faced, such as scalability, energy consumption, and the necessity for high-quality data.</span></div><div style=""margin:0px;padding:0px;border:0px;font-size:16px;line-height:inherit;font-family:Arial, Helvetica, sans-serif;vertical-align:baseline;color:rgb(81,95,92);background-color:rgb(255,255,255);text-align:justify;""><span style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-weight:inherit;font-size:14px;line-height:inherit;font-family:inherit;vertical-align:baseline;""><strong style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-size:inherit;line-height:inherit;font-family:inherit;vertical-align:baseline;"">Results:</strong> Blockchain technology contributes to climate change mitigation by ensuring the transparent and immutable recording of transactions and environmental impacts, fostering stakeholder trust, and democratizing participation in climate initiatives. AI complements blockchain by providing deep insights and actionable intelligence from large datasets, facilitating evidence-based policymaking. The integration of both technologies promises enhanced data management, improved climate models, and more effective climate action initiatives.</span></div><div style=""margin:0px;padding:0px;border:0px;font-size:16px;line-height:inherit;font-family:Arial, Helvetica, sans-serif;vertical-align:baseline;color:rgb(81,95,92);background-color:rgb(255,255,255);text-align:justify;""><span style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-weight:inherit;font-size:14px;line-height:inherit;font-family:inherit;vertical-align:baseline;""><strong style=""margin:0px;padding:0px;border:0px;font-style:inherit;font-variant:inherit;font-size:inherit;line-height:inherit;font-family:inherit;vertical-align:baseline;"">Conclusion:</strong> The integration of blockchain technology and AI offers a transformative approach to climate change mitigation, enhancing the accuracy, transparency, and security of climate data and governance. This synergy addresses current limitations and futureproofs climate strategies, marking a cornerstone for the next generation of environmental stewardship.</span></div>",opensource
abbregeydephysi00codr,Abbregé de physique,C,"['5 parts in 1 volume, 119 leaves ; 25 cm', 'Title transcribed from leaf 3', 'The identitiy of the scribe is unknown', 'Manuscript text in brown ink, written on recto of leaves only', 'Manuscript consists of four chapters of ""Abbregé de physique"" and one part entitled ""Theses physicae.""']",smithsonian
shameless-self-advert-of-spectrum-of-self-obsessed-insentient-stupidities,Shameless Self Advert Of Spectrum Of Self Obsessed Insentient Stupidities,S,"<p class=""MsoNormal"">A humble, compassionate, nonjudgmental inquiry into a
predominant pathology and a predatory propensity by scientifically tracing
substrate reality of intuitive-visceral action-behavior; decoding sentient victimization
by innate animalism-tribalism, entrenched in spectrum of consciousness-cognition
and instituting a case for elusive humanism, in crumbling fabric of failed society-culture-polity.</p><p class=""MsoNormal""></p><p class=""MsoNormal"">There is a golden rule of life-living – <b><i>what you want is what you seek
but what you seek is not always what you need</i></b>. It means, there is a
spectrum of animal-tribal wants and desires, which men and women subconsciously
seek but they are not needed in civilized-cultured-liberal human world, as they
stand in antagonism to requirements of humanism. It has to be understood as why
it is that what we seek is <b>not</b>
always what we actually need. </p>

<p class=""MsoNormal"">To understand this, we have to understand the terms <i>intuitive</i> and <i>non-intuitive </i>experience-cognition of reality. This knowledge is
essential for understanding your relationship with reality. It is this <i>relationship</i> of an individual life with
reality he or she perceives and accepts, decides the spheres of
animalism-tribalism or humanism, where the individual stands.</p>

<p class=""MsoNormal"">Broadly, <i>intuitive</i>
is what we feel and believe as true and right, without any external evidence,
just because it makes us feel good and happy. This ‘benchmark of happiness’ is
a scammed entity as happiness is largely and dominantly very intuitive-visceral
and personal-subjective and different people have different sense and
experiences of ‘happiness’. <i>Non-intuitiveness</i>
is often contrary to intuitive feeling, based on common and singular objective
facts as sufficient scientific evidence; even as it does not feel the
‘happy-comforting’ way we like and want.</p>

<p class=""MsoNormal"">Often, what we feel, what we <i>want</i> and therefore seek, is intuitive-visceral-personal-subjective
feeling, the evidence of which comes from our deep satisfying sense and
experience of <i>Happiness</i>. Therefore,
we don’t even bother to entertain any other evidence, different to what our
body-mind tells us and we feel; to be happy is our right-liberty and it is very
appropriate to be happy, even at the cost of making others unhappy and in pain.
This is the seed of most cruelties and brutalities we heap on others.</p>

<p class=""MsoNormal"">This trigger-happy, self-evidenced, intuitive-visceral sense
of righteousness and its self-obsessed validation is cruelty-brutality; a
definitive expression of animalism-tribalism. Sadly enough, for mass majority
of men and women in contemporary world, this intuitive-visceral
animalism-tribalism is the torchbearer of most behavior-actions, which they
hold as their right at any cost. The pop wisdom is out there to augment and
embolden this animalism-tribalism in men and women.</p>

<p class=""MsoNormal"">This pop intelligence is simple and straight – ‘It is my
body and my happiness and I know my body-joys better than all and that is why
only I decide what I need’. This is the scam humanity perpetuates. This
intuitive-visceral reality is partial and based on subjective choices and not
objective reality. The other part of non-intuitive reality is not available to
visceral consciousness and intuitive cognition as they are not part of body’s
innate experiencing. Rather, they are part of <i>knowledge</i>, which has to be acquired through disciplined learning
and this knowledge actually kills the visceral-intuitive sense and experiencing
of <i>Happiness</i>. That is why solipsism,
anti-intellectualism and anti-science sentimentalism are the most popular and
lapped up trends in most societies and cultures, across the globe. They only
prosper animalism-tribalism and proliferate cruelties-brutalities.</p>

<p class=""MsoNormal"">The hope however rests with the ultimate power and potential
of scientific knowledge. Many pluses are emerging, though slowly, and they are
gradually sidelining many minuses. We just have to be patient, poised and
compassionate, as new civilizational propensities and pathways emerge and
prosper in 21<sup>st</sup> century.</p><p></p>",opensource
environmental-sustainability-needs-humanities-topical-collection-on-discover-sus,“ Environmental Sustainability Needs Humanities” Topical Collection On Discover Sustainability Aiding The Social Transitions Toward An Eco Surplus Utopia,A,"Committing to contribute to promoting the 11th progressive cultural element – environmental-healing value – and building the eco-surplus culture for sustainable development, the AISDL Team (represented by Drs. Minh-Hoang Nguyen and Quan-Hoang Vuong) has collaborated with <i>Discover Sustainability</i> to launch “Environmental Sustainability Needs Humanities” Topical Collection. In contributing to the generation of knowledge that aids the social transitions toward an eco-surplus utopia, the Topical Collection welcomes various types of articles across disciplines, including Research, Reviews, Perspectives, Comments, Brief Communications, Case Studies, Registered Reports, and Data Notes that are related but not limited to these issues:<div><ul><li>Socio-cultural and economic issues that help mitigate and adapt to climate change and prevent biodiversity loss</li><li>Socio-cultural and economic issues that support the development and implementation of nature-based solutions and artificial technologies for achieving environmental sustainability</li><li>Factors that help restore the connection between nature and humans, such as science, art, literature, and lived experiences</li><li>The psychology towards climate change, biodiversity loss, social transition, and technological transformation</li><li>The roles of creativity, serendipity, and knowledge management in sustainability transformation</li><li>Sustainable financing mechanism for climate change mitigation and adaptation as well as biodiversity conservation</li><li>The roles of urban and rural humans in addressing climate change and biodiversity loss</li><li>Global agreement, national commitments, and local actions for addressing climate change and biodiversity loss</li></ul></div>",opensource
1.-benzen-tom-9,A little about benzene.,B,The planar structure of the benzene molecule and the identity of the bonds were proven by X-ray diffraction analysis and electron diffraction around the 1930s. This fact is indicated in every university textbook on organic chemistry. And here begins a very instructive and tragic story. <br /><br />,opensource
10.11591edulearn.v18i1.20890,Enhancing historical consciousness in history education through integrating STEM approach and historical thinking skill,J,"<span style=""font-size:9pt;font-family:'Times New Roman', serif;"">The
research explores the potential of incorporating science, technology,
engineering, and mathematics (STEM) education approach and critical thinking to
enhance historical consciousness. The study employs an ex post facto
quantitative method, specifically a correlational design to analyse the
variables. The research population comprises 425 students from diverse
backgrounds in Banten Province schools that have implemented the STEM approach.
A sample size of 202 students is determined using a predefined error rate. Data
collection involves tests and questionnaires assessing historical thinking
skills, STEM approaches, and historical consciousness. Statistical analysis,
including partial and simultaneous multiple correlation tests, reveals a
significant and very strong positive relationship between STEM approach,
historical thinking skills, and historical consciousness. This suggests that
the interplay of these factors enhances history learning and encourages a
deeper understanding of historical events, promoting critical thinking, and
historical consciousness. The study emphasizes the importance of integrating
STEM methodologies into history education to provide students with a holistic
understanding of historical events and their societal implications. Such an
approach bridges the gap between STEM and history, fostering interdisciplinary
collaboration and promoting informed and empathetic citizens. Future research
should explore diverse samples, employ qualitative methods, and investigate
curriculum designs and teaching strategies that effectively integrate STEM and
history education.</span>",opensource
deep-generative-models-in-deep-learning,Deep Generative Models In Deep Learning,K,"<p class=""MsoNormal"">Navigate the dynamic landscape of 2024, deep generative
models stand as powerful tools reshaping the contours of artificial
intelligence. From data augmentation to content creation and drug discovery,
the applications of these models are diverse and transformative. However,
challenges persist, and the ethical considerations surrounding their use
require continuous attention.</p><p></p>",opensource
in.ernet.dli.2015.205788,Modern Radio Servicing,G,"<p><b>Book Source:</b> <a href=""http://www.new.dli.ernet.in/handle/2015/205788"" rel=""nofollow"">Digital Library of India Item 2015.205788</a></p><p>dc.contributor.author: Ghirardi, Alfred. A<br />dc.date.accessioned: 2015-07-09T14:17:51Z<br />dc.date.available: 2015-07-09T14:17:51Z<br />dc.date.digitalpublicationdate: 2005-01-03<br />dc.date.citation: 1<br />dc.identifier.barcode: 1040010074953<br />dc.identifier.origpath: /data_copy/upload/0074/958<br />dc.identifier.copyno: 1<br />dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/205788<br />dc.description.scannerno: 2<br />dc.description.scanningcentre: IISc, Bangalore<br />dc.description.main: 1<br />dc.description.tagged: 0<br />dc.description.totalpages: 1319<br />dc.format.mimetype: application/pdf<br />dc.language.iso: English<br />dc.publisher.digitalrepublisher: Svinfo<br />dc.publisher: Radio And Technical Publishing Co,ny<br />dc.rights: Out_of_copyright<br />dc.source.library: Jrd Tata Library, Indian Institute Of Science, Bangalore<br />dc.subject.classification: Technology<br />dc.subject.classification: Engineering.technology In General<br />dc.subject.keywords: Radio Servicing<br />dc.title: Modern Radio Servicing<br /></p>","['digitallibraryindia', 'JaiGyan', 'dlarc', 'americana']"
httpsierj.injournalindex.phpierjarticleview3253,DEVELOPMENT OF GRADE LEVEL ASSESSMENT TOOL IN SOCIAL SCIENCE (GLAT-SS) FOR GRADE VII &VIII BASED ON KARNATAKA STATE EDUCATION BOARD FOR TYPICALLY DEVELOPING CHILDREN AND CHILDREN WITH HEARING IMPAIRMENT,D,"<p style=""line-height:1.785rem;margin:1.43rem 0px;color:rgba(0,0,0,0.87);font-family:'Noto Sans', '-apple-system', BlinkMacSystemFont, 'Segoe UI', Roboto, 'Oxygen-Sans', Ubuntu, Cantarell, 'Helvetica Neue', sans-serif;font-size:14px;background-color:rgb(255,255,255);"">The aim of the present study was to develop the Grade Level Assessment Tool in Social Science (GLAT-SS) for the Karnataka State Education Board's grades VII and VIII employing a survey design. The study's target population consisted of 29 schools spread across five districts in Karnataka. Purposive sampling technique was employed to select participants for the study.In the study, a total 866 typically developing children from five districts (Mysore, Chamarajnagar, Mandya, Bengaluru &amp; Kalaburagi) of Karnataka State participated. For the pilot study, 100 typically developing children participated and 766 typically developing children studying in Grade VII &amp; VIII from five districts of Karnataka State participated in the final data collection, among them 263 students (<em>154 English and 109 Kannada</em>) were from Mysuru district; 82 students (<em>English medium</em>) were from Chamrajnagara district; 12 students (<em>English medium</em>) from Mandya district; and 32 students (<em>25 English and 07 Kannada</em>) were from Bengaluru district participated.</p><p style=""line-height:1.785rem;margin:1.43rem 0px 0px;color:rgba(0,0,0,0.87);font-family:'Noto Sans', '-apple-system', BlinkMacSystemFont, 'Segoe UI', Roboto, 'Oxygen-Sans', Ubuntu, Cantarell, 'Helvetica Neue', sans-serif;font-size:14px;background-color:rgb(255,255,255);"">The final analysis and interpretations of results reveal that There is significant difference found in performance of Grade Level Assessment Test (GLAT-SS) in Social Science between Typically Developing students and students with Hearing Impairment grade VII &amp; VIII students studying in English Medium as well as Kannada Medium.</p>",opensource
