Identifier,Title,Author,Description,collection
learn-java-in-21-days,Learn Java In 21 Days,G,Learn about Java in 21 days,opensource
programming-resources_202402,Programming Resources,Unknown Author,These are the online resources that most of it are related in programming.,opensource
programming-resources_20240211,Programming Resources,Unknown Author,These are the online resources that most of it are related in programming.,opensource
java-web-socket-programming-develop-deploy-and-secure-dynamic-web-applications-coward-2013-09-18,"Java Web Socket Programming Develop, Deploy, And Secure Dynamic Web Applications [ Coward 2013 09 18]",f,Programacion websocket java<br />,opensource
list-of-solution-manual-and-test-bank,List Of Solution Manual And Test Bank,s,"Here is the list of available and ready resources (about 3000 Solution Manual and Test Bank). This PDF file has 107 pages.<br />You can search on it easily.<br /><br />Contact me in order to access the whole complete document.<br />Email: solution9159@gmail.com<br />WhatsApp: https://wa.me/message/2H3BV2L5TTSUF1<br />Telegram: https://t.me/solutionmanual<br /><br />Test Bank for Technician's Guide to Programmable Controllers, 7th Edition by Terry Borden, Richard A. Cox <br />Test Bank for California Politics and Government: A Practical Approach, 15th Edition by Larry N. Gerston, Terry Christensen, Mary Currin-Percival, Garrick Percival <br />Instructor's Solutions Manual for Building Python Programs, 1st Edition Stuart Reges, Marty Stepp, Allison Obourn<br />Test Bank for Starting Out with Programming Logic and Design, 6th Edition by Tony Gaddis <br />Instructor's Solutions Manual for The U.S. Congress: A Simulation for Students, 2nd Edition by Lauren Cohen Bell <br />Test Bank for Introduction to Learning and Behavior, 6th Edition by Russell A. Powell, P. Lynne Honey, Diane G. Symbaluk <br />Instructor's Solutions Manual for Gardner's Art Through the Ages: A Global History, Volume I, 16th Edition by Fred S. Kleiner <br />Test Bank for Western Civilization: A Brief History, 10th Edition by Jackson J. Spielvogel <br />Instructor's Solutions Manual for Inference and Learning from Data: Volume 2 (Inference) by Ali H. Sayed <br />Instructor's Solutions Manual for Fundamentals of Power System Economics, 2nd Edition by Daniel S. Kirschen, Goran Strbac <br />Test Bank for Practical Guide to Digital Forensics Investigations, 2nd Edition by Darren Hayes <br />Test Bank for Single Variable Calculus: Early Transcendentals 4th Edition by Dennis G. Zill, Warren S. Wright <br />Instructor's Solutions Manual for Algebra and Trigonometry, 3rd Edition by Dennis G. Zill, Jacqueline M. Dewar <br />Test Bank for Multivariable Calculus: Early Transcendentals, 4th Edition by Dennis G. Zill, Warren S. Wright <br />Instructor's Solutions Manual for Introduction to Metric and Topological Spaces, 2nd Edition by Wilson A Sutherland <br />Test Bank for International Management: Culture, Strategy, and Behavior, 12th Edition by Fred Luthans, Jonathan Doh, Ajai S. Gaur <br />Test Bank for Stress Management for Life: A Research-Based Experiential Approach, 5th Edition by Michael Olpin, Margie Hesson <br />Instructor's Solutions Manual for Understanding Social Problems, 11th Edition - Instructor Resources by Linda A. Mooney, Molly Clever, Marieke Van Willigen <br />Instructor's Solutions Manual for Object-Oriented Data Structures Using Java, 4th Edition by Nell Dale - Daniel T. Joyce - Chip Weems <br />Instructor's Solutions Manual for Elementary Statistics: A Step By Step Approach, 10th Edition by Allan Bluman <br />Instructor's Solutions Manual for Reinforced Concrete: Mechanics and Design, 8th Edition by James K. Wight <br />Instructor's Solutions Manual for Surveying Fundamentals and Practices, 7th edition by Jerry Nathanson, Michael Lanzafama, Philip Kissam <br /><br />Check more inside PDF file",opensource
grokking-algorithms-an-illustrated-guide-for-programmers-and-other-curious-people,Grokking Algorithms An Illustrated Guide For Programmers And Other Curious People,Unknown Author,"Grokking Algorithms book for programmers which is going to help you understand programming and how to create nice Algorithms<div style=""font-size:16px;""><br style=""font-size:16px;"" /></div>",opensource
the-java-language-specification-java-se-21-edition,"The Java Language Specification, Java SE 21 Edition",O,"The Java Language Specification, Java SE 21 Edition",opensource
httpsjai.in.uaindex.phpd0b0d180d185d196d0b2paper_num1585,INTEGRATION OF THE METHODS OF ALGEBRA OF ALGORITHMS AND COMPUTATIONAL INTELLIGENCE FOR AUTOMATION OF PROGRAM SYSTEMS DESIGN,A,"An approach to the creation of intelligent systems is considered, which combines the ideas of Glushkov’s algebra of algorithms with the well-known neuroevolutionary algorithms of computational intelligence, which can be used to automate the design and synthesis of programs. The method of neuroevolution of augmenting topologies is intended to reduce the dimensionality of the space for searching for neural network parameters in the form of gradual development of its structure in the process of evolution. A software toolkit has been developed to support the approach, which is based on the construction of high-level specifications of algorithms represented in systems of algorithmic algebras, and generation of corresponding programs based on implementation templates in a target programming language. Parameterized algorithms called hyperschemes are used to solve a certain class of problems. Setting specific values of parameters and subsequent interpretation of hyperschemes allows obtaining algorithms adapted to specific application conditions. The developed program design and synthesis toolkit provides step-by-step development of programs, starting from a high-level algebraic-algorithmic specification. At the output of the toolkit, a program is automatically generated in one of the target programming languages (С, С++, Java, Python), that also include a subject-oriented language for designing neural networks. The mentioned language includes operators and conditions for working with populations, configurations, genomes, and fitness function. The work of the toolkit is illustrated by the example of designing a parameterized evaluation algorithm for a binary multiplexer and generation of a program for the single-pole balancing problem.","['aipi.ua-collection', 'additional_collections']"
ChinaXiv-202308.00375V1,基于信息熵的新媒体环境下网络节点影响力研究——以微信公众号为例,邢云菲,"<div class=""hd"">
 <h1>
  
  基于信息熵的新媒体环境下网络节点影响力研究——以微信公众号为例
 </h1>
 <p>
  Research on the Influence of Network Nodes in New Media Environment Based on Information Entropy: A Case Study of WeChat
 </p>
 <div class=""flex"" style=""border:0px;padding-bottom:0px;"">
 </div>
 <div class=""bd"" style=""border-bottom:1px solid #ced6e0;"">
  <ul style=""margin-top:0px;"">
   <li>
    <b>
     作者：
    </b>
    <a href=""https://chinaxiv.org/user/search.htm?field=author&amp;value=%E9%82%A2%E4%BA%91%E8%8F%B2"" style=""color:#3060cc;"" rel=""nofollow"">
     邢云菲
    </a>
    <sup style=""margin-left:0px;"">
     1
    </sup>
    <a href=""https://chinaxiv.org/user/search.htm?field=author&amp;value=%E7%8E%8B%E6%99%B0%E5%B7%8D"" style=""color:#3060cc;"" rel=""nofollow"">
     王晰巍
    </a>
    <sup style=""margin-left:0px;"">
     1,2
    </sup>
    <a href=""https://chinaxiv.org/user/search.htm?field=author&amp;value=%E9%9F%A9%E9%9B%AA%E9%9B%AF"" style=""color:#3060cc;"" rel=""nofollow"">
     韩雪雯
    </a>
    <sup style=""margin-left:0px;"">
     1
    </sup>
    <a href=""https://chinaxiv.org/user/search.htm?field=author&amp;value=%E5%BC%A0%E9%95%BF%E4%BA%AE"" style=""color:#3060cc;"" rel=""nofollow"">
     张长亮
    </a>
    <sup style=""margin-left:0px;"">
     1
    </sup>
   </li>
   <li>
    <b>
     作者单位：
    </b>
    <div style=""margin-left:70px;margin-top:-26px;"">
     <div>
      1.
      <a href=""https://chinaxiv.org/user/search.htm?field=affication&amp;value=%E5%90%89%E6%9E%97%E5%A4%A7%E5%AD%A6%E7%AE%A1%E7%90%86%E5%AD%A6%E9%99%A2%E4%BF%A1%E6%81%AF%E7%AE%A1%E7%90%86%E7%B3%BB%20%E9%95%BF%E6%98%A5%20130022"" style=""color:#3060cc;"" rel=""nofollow"">
       吉林大学管理学院信息管理系 长春 130022
      </a>
     </div>
     <div>
      2.
      <a href=""https://chinaxiv.org/user/search.htm?field=affication&amp;value=%E5%90%89%E6%9E%97%E5%A4%A7%E5%AD%A6%E5%A4%A7%E6%95%B0%E6%8D%AE%E7%AE%A1%E7%90%86%E7%A0%94%E7%A9%B6%E4%B8%AD%E5%BF%83%20%E9%95%BF%E6%98%A5%20130022"" style=""color:#3060cc;"" rel=""nofollow"">
       吉林大学大数据管理研究中心 长春 130022
      </a>
     </div>
    </div>
   </li>
   <li>
    <b>
     提交时间：
    </b>
    2023-08-26
   </li>
  </ul>
 </div>
 <div class=""bd"" style=""margin-top:15px;"">
  <p style=""color:#333;"">
   <b>
    摘要:
   </b>
   [目的/意义]对新媒体环境下网络节点影响力进行研究，能够深入剖析信息传播规律，从而有助于采取针对性措施对信息传播进行合理控制。[方法/过程]基于信息熵理论构建新媒体环境下网络节点影响力模型，以微信公众号为例进行节点影响力测算，对节点直接影响力、间接影响力和综合影响力进行深入分析，最后运用Matlab软件对所构建模型进行仿真分析。[结果/结论]新媒体环境下网络节点综合影响力随着连接节点数量和节点间互动频率增加而增大，直接影响力和间接影响力也以不同幅度增长，但当间接影响力信息熵值超过100时，直接影响力成为影响节点综合影响力的主要因素。
  </p>
  <p style=""color:#333;"">
   <b>
    Abstract:
   </b>
   [Purpose/significance] The research on the influence of network nodes in new media environment can deeply analyze the law of information dissemination, and thus help to take appropriate measures to control the information dissemination reasonably. [Method/process] This paper constructs the model of users' node influence in the new media environment based on information entropy theory, taking WeChat as an example to analyze the influence of network nodes. By using java programming method, the paper aims to calculate the numerical value of network nodes, including direct influence, indirect influence and total influence. And finally it use Matlab software to simulate the model. [Result/conclusion] Network nodes' total influence increases with the growth in the number of connections and the frequency of interactions between nodes. Direct influence and indirect influence are growing at a different rate, but the direct influence becomes the main factor affecting the comprehensive effect of nodes when the value of indirect influence is over 100.
  </p>
  <div class=""brdge"">
   <span class=""spankwd"">
    <a href=""https://chinaxiv.org/user/search.htm?field=keywords&amp;value=%E4%BF%A1%E6%81%AF%E7%86%B5"" rel=""nofollow"">
     信息熵
    </a>
   </span>
   <span class=""spankwd"">
    <a href=""https://chinaxiv.org/user/search.htm?field=keywords&amp;value=%E6%96%B0%E5%AA%92%E4%BD%93"" rel=""nofollow"">
     新媒体
    </a>
   </span>
   <span class=""spankwd"">
    <a href=""https://chinaxiv.org/user/search.htm?field=keywords&amp;value=%E8%8A%82%E7%82%B9%E5%BD%B1%E5%93%8D%E5%8A%9B"" rel=""nofollow"">
     节点影响力
    </a>
   </span>
   <span class=""spankwd"">
    <a href=""https://chinaxiv.org/user/search.htm?field=keywords&amp;value=%E5%BE%AE%E4%BF%A1"" rel=""nofollow"">
     微信
    </a>
   </span>
  </div>
  
  <ul>
   <li>
    <b>
     期刊：
    </b>
    <a rel=""nofollow"">
     图书情报工作
    </a>
   </li>
   <li>
    <b>
     分类：
    </b>
    <a href=""https://chinaxiv.org/user/search.htm?field=domain&amp;value=20"" rel=""nofollow"">
     图书馆学、情报学
    </a>
    &gt;&gt;
    <a href=""https://chinaxiv.org/user/search.htm?field=subject&amp;value=327"" rel=""nofollow"">
     图书馆学
    </a>
   </li>
   <li>
    <b>
     引用：
    </b>
    <a href=""https://chinaxiv.org/abs/202308.00375"" rel=""nofollow"">
     <font color=""#0000FF"">
      ChinaXiv:202308.00375
     </font>
    </a>
    (或此版本
    <a href=""https://chinaxiv.org/abs/202308.00375v1"" rel=""nofollow"">
     <font color=""#0000FF"">
      ChinaXiv:202308.00375V1
     </font>
    </a>
    )
    <br />
    <a style=""margin-left:45px;"" rel=""nofollow"">
     doi:10.12074/202308.00375
    </a>
    <br />
    <a href=""https://www.cstr.cn/CSTR:32003.36.ChinaXiv.202308.00375.V1"" style=""margin-left:45px;"" rel=""nofollow"">
     <font color=""#0000FF"">
      CSTR:32003.36.ChinaXiv.202308.00375.V1
     </font>
    </a>
   </li>
   <li>
    <b>
     推荐引用方式：
    </b>
    <span>
     邢云菲,王晰巍,韩雪雯,张长亮.(2023).基于信息熵的新媒体环境下网络节点影响力研究——以微信公众号为例.图书情报工作.[ChinaXiv:202308.00375]
    </span>
   </li>
  </ul>
 </div>
 <div class=""ft"">
  <h4>
   <span>
    版本历史
   </span>
  </h4>
  <table style=""font-size:14px;"">
   <tr>
    <td>
     <b>
      [V1]
     </b>
    </td>
    <td>
     2023-08-26 23:57:13
    </td>
    <td>
     ChinaXiv:202308.00375V1
    </td>
    <td>
     <a class=""btn"" href=""https://chinaxiv.org/user/download.htm?id=55963"" rel=""nofollow"">
      下载全文
     </a>
    </td>
   </tr>
  </table>
 </div>
</div>
","['chinaxivmirror', 'journals']"
what-is-coding-for-kids-gemslearninginstitute.com,What Is Coding For Kids Gemslearninginstitute.com,h,<div>APP DEVELOPMENT</div><div>VIDEO GAME DEVELOPMENT</div><div>CODING CAMPS</div><div>SENSORS AND CIRCUIT DESIGN</div><div>WEB DEVELOPMENT(HTML/CSS/JAVA SCRIP)</div><div>PYTHON AND OBJECT ORENTIED PROGRAMMING (FOUNDATION TO ADVANCED)</div>,opensource
